Timeline,Start time,Duration,Row,Instance number,DEFENSE,HALF COURT ACTIONS,OFFENSE,ON COURT,Result,TRANSITION,Ungrouped,Notes,Flags
Game #11 - Hawai'i 12-21-23 (FINAL),15.510338516000004,17.510561484000007,OFFENSE,1,,P/R,,"#2 George, #11 Ndongo, #5 Gapare, #14 Reeves, #13 Kelly",O2,,,,
Game #11 - Hawai'i 12-21-23 (FINAL),55.08997365500001,22.282526344999994,OFFENSE,2,,P/R,,"#2 George, #11 Ndongo, #5 Gapare, #14 Reeves, #13 Kelly",O3,,,,
Game #11 - Hawai'i 12-21-23 (FINAL),97.63106580500002,6.906500861999973,OFFENSE,3,,,"Transition O, Forced Foul","#2 George, #11 Ndongo, #5 Gapare, #14 Reeves, #13 Kelly",X2F,TRANSITION,,,
Game #11 - Hawai'i 12-21-23 (FINAL),130.0542,7.316699999999997,OFFENSE,4,,,,"#2 George, #11 Ndongo, #5 Gapare, #14 Reeves, #13 Kelly",FT - MI,TRANSITION,,,
Game #11 - Hawai'i 12-21-23 (FINAL),145.91446323099947,6.599402916667032,OFFENSE,5,,,,"#2 George, #11 Ndongo, #5 Gapare, #14 Reeves, #13 Kelly",FT - MK,TRANSITION,,,
Game #11 - Hawai'i 12-21-23 (FINAL),187.10423333300002,12.133333333999985,OFFENSE,6,,P/R,,"#2 George, #11 Ndongo, #5 Gapare, #14 Reeves, #13 Kelly",TO,,,,
Game #11 - Hawai'i 12-21-23 (FINAL),209.754233333,14.766666666999981,OFFENSE,7,,P/R,,"#2 George, #11 Ndongo, #5 Gapare, #14 Reeves, #13 Kelly",O2,,,,
Game #11 - Hawai'i 12-21-23 (FINAL),243.954233333,10.149966667000001,OFFENSE,8,,ISO,,"#2 George, #11 Ndongo, #5 Gapare, #14 Reeves, #13 Kelly",O2,,,,
Game #11 - Hawai'i 12-21-23 (FINAL),319.9542,24.583366666666677,OFFENSE,9,,P/R,,"#2 George, #11 Ndongo, #5 Gapare, #14 Reeves, #13 Kelly",O2,,,,
Game #11 - Hawai'i 12-21-23 (FINAL),368.16506666666675,25.50003333299992,OFFENSE,10,,P/R,GT Off Reb,"#1 Sturdivant, #11 Ndongo, #5 Gapare, #14 Reeves, #13 Kelly",X2,,,,
Game #11 - Hawai'i 12-21-23 (FINAL),393.66509999966667,5.149999999999977,OFFENSE,11,,,,"#1 Sturdivant, #11 Ndongo, #5 Gapare, #14 Reeves, #13 Kelly",,,,,
Game #11 - Hawai'i 12-21-23 (FINAL),405.2317666666667,17.449999999999932,OFFENSE,12,,P/R,SLOB Off,"#1 Sturdivant, #11 Ndongo, #13 Kelly, #14 Reeves, #3 Coleman",X2,,,,
Game #11 - Hawai'i 12-21-23 (FINAL),439.7317666666667,24.18333333299995,OFFENSE,13,,P/R,,"#1 Sturdivant, #11 Ndongo, #13 Kelly, #14 Reeves, #3 Coleman",O2,,,,
Game #11 - Hawai'i 12-21-23 (FINAL),514.6484333336666,16.25,OFFENSE,14,,DHO/HOFF,GT Off Reb,"#1 Sturdivant, #5 Gapare, #13 Kelly, #3 Coleman, #12 Claude",X2,,,,
Game #11 - Hawai'i 12-21-23 (FINAL),530.8984333336666,12.41666666599997,OFFENSE,15,,DK/MVMT,,"#1 Sturdivant, #5 Gapare, #13 Kelly, #3 Coleman, #12 Claude",X3,,,,
Game #11 - Hawai'i 12-21-23 (FINAL),566.3150999996667,7.8807588930000065,OFFENSE,16,,,Transition O,"#1 Sturdivant, #5 Gapare, #13 Kelly, #3 Coleman, #12 Claude",O2,TRANSITION,,,
Game #11 - Hawai'i 12-21-23 (FINAL),662.5484333333334,21.883333333333326,OFFENSE,17,,P/R,,"#1 Sturdivant, #5 Gapare, #2 George, #12 Claude, #3 Coleman",TO,,,,
Game #11 - Hawai'i 12-21-23 (FINAL),731.0317666666667,20.26666666699998,OFFENSE,18,,P/R,,"#1 Sturdivant, #5 Gapare, #2 George, #12 Claude, #3 Coleman",TO,,,,
Game #11 - Hawai'i 12-21-23 (FINAL),767.0962174826655,6.5215825173345365,OFFENSE,19,,,Transition O,"#1 Sturdivant, #5 Gapare, #2 George, #12 Claude, #3 Coleman",O2,TRANSITION,,,
Game #11 - Hawai'i 12-21-23 (FINAL),819.5344333333333,12.600033333000056,OFFENSE,20,,P/R,,"#1 Sturdivant, #5 Gapare, #2 George, #12 Claude, #3 Coleman",O3,,,,
Game #11 - Hawai'i 12-21-23 (FINAL),848.2678000003332,9.183333333000064,OFFENSE,21,,,"Transition O, GT Off Reb","#1 Sturdivant, #5 Gapare, #2 George, #12 Claude, #3 Coleman",X3,TRANSITION,,,
Game #11 - Hawai'i 12-21-23 (FINAL),857.4511333333332,10.983333333000019,OFFENSE,22,,P/R,,"#1 Sturdivant, #5 Gapare, #2 George, #12 Claude, #3 Coleman",O2,,,,
Game #11 - Hawai'i 12-21-23 (FINAL),894.9971333330002,14.449999999999818,OFFENSE,23,,P/R,,"#1 Sturdivant, #5 Gapare, #2 George, #12 Claude, #3 Coleman",TO,,,,
Game #11 - Hawai'i 12-21-23 (FINAL),963.2213333333334,28.768782293666618,OFFENSE,24,,ISO,GT Off Reb,"#14 Reeves, #11 Ndongo, #2 George, #12 Claude, #13 Kelly",X2,,,,
Game #11 - Hawai'i 12-21-23 (FINAL),991.990115627,4.540351040000132,OFFENSE,25,,OREB,,"#14 Reeves, #11 Ndongo, #2 George, #12 Claude, #13 Kelly",O2,,,,
Game #11 - Hawai'i 12-21-23 (FINAL),1015.7804666670002,12.566666665999946,OFFENSE,26,,DK/MVMT,GT Off Reb,"#14 Reeves, #11 Ndongo, #2 George, #12 Claude, #13 Kelly",X2,,,,
Game #11 - Hawai'i 12-21-23 (FINAL),1028.347133333,2.216666667000027,OFFENSE,27,,OREB,,"#14 Reeves, #11 Ndongo, #2 George, #12 Claude, #13 Kelly",X2,,,,
Game #11 - Hawai'i 12-21-23 (FINAL),1048.1304666666667,12.25,OFFENSE,28,,P/R,,"#14 Reeves, #11 Ndongo, #2 George, #12 Claude, #13 Kelly",O2,,,,
Game #11 - Hawai'i 12-21-23 (FINAL),1080.0138000000002,11.099999999999909,OFFENSE,29,,,,"#14 Reeves, #11 Ndongo, #2 George, #12 Claude, #13 Kelly",,,,,
Game #11 - Hawai'i 12-21-23 (FINAL),1104.9604333333334,13.983333333000019,OFFENSE,30,,P/R,,"#14 Reeves, #11 Ndongo, #2 George, #5 Gapare, #13 Kelly",O2,,,,
Game #11 - Hawai'i 12-21-23 (FINAL),1155.3271,12.733333333333348,OFFENSE,31,,P/R,Forced Foul,"#14 Reeves, #11 Ndongo, #2 George, #5 Gapare, #13 Kelly",X2F,,,,
Game #11 - Hawai'i 12-21-23 (FINAL),1188.1104333333335,3.5166666666666515,OFFENSE,32,,P/R,,"#14 Reeves, #11 Ndongo, #2 George, #5 Gapare, #13 Kelly",FT - MK,,,,
Game #11 - Hawai'i 12-21-23 (FINAL),1197.1437333333333,7.516700000000128,OFFENSE,33,,P/R,,"#14 Reeves, #11 Ndongo, #2 George, #5 Gapare, #13 Kelly",FT - MK,,,,
Game #11 - Hawai'i 12-21-23 (FINAL),1251.6879381123333,14.990647956000203,OFFENSE,34,,P/R,,"#14 Reeves, #11 Ndongo, #2 George, #5 Gapare, #13 Kelly",X3,,,,
Game #11 - Hawai'i 12-21-23 (FINAL),1292.0771000003333,20.49999999966667,OFFENSE,35,,P/R,,"#14 Reeves, #11 Ndongo, #2 George, #5 Gapare, #13 Kelly",O2,,,,
Game #11 - Hawai'i 12-21-23 (FINAL),1343.3334899043334,7.560243428999911,OFFENSE,36,,,Transition O,"#14 Reeves, #11 Ndongo, #2 George, #5 Gapare, #13 Kelly",X3,TRANSITION,,,
Game #11 - Hawai'i 12-21-23 (FINAL),1357.3437666663335,26.73333333399978,OFFENSE,37,,DK/MVMT,,"#14 Reeves, #11 Ndongo, #2 George, #5 Gapare, #13 Kelly",X3,,,,
Game #11 - Hawai'i 12-21-23 (FINAL),1398.001366666667,10.616700000000037,OFFENSE,38,,P/R,,"#14 Reeves, #11 Ndongo, #1 Sturdivant, #3 Coleman, #13 Kelly",X2,,,,
Game #11 - Hawai'i 12-21-23 (FINAL),1428.6680666666668,13.350000000000364,OFFENSE,39,,P/R,Forced Foul,"#14 Reeves, #11 Ndongo, #1 Sturdivant, #3 Coleman, #13 Kelly",,,,,
Game #11 - Hawai'i 12-21-23 (FINAL),1450.8013999996672,20.699999999999818,OFFENSE,40,,P/R,BLOB Off,"#14 Reeves, #11 Ndongo, #1 Sturdivant, #3 Coleman, #13 Kelly",O2,,,,
